"Latitude","Longitude","CType","Remarks","Index"
28.154384,77.785188,"PD","",""
28.154015,77.784587,"PD","",""
28.15376,77.784265,"PD","",""
28.15394,77.785681,"SC","",""
28.15342,77.784995,"JW","",""
28.153192,77.785199,"SC","",""
28.152861,77.785574,"SC","",""
28.153486,77.785842,"SC","",""
28.153656,77.787377,"SC","",""
28.154451,77.787559,"JW","",""
28.153656,77.788364,"SC","",""
28.153155,77.788557,"SC","",""
28.153391,77.7889,"SC","",""
28.152341,77.789426,"PP","",""
28.152351,77.7886,"SC","",""
28.152956,77.787999,"SC","",""
28.153192,77.787055,"SC","",""
28.152663,77.787505,"SC","",""
28.152076,77.788085,"SC","",""
28.151669,77.788503,"SC","",""
28.151338,77.788943,"SC","",""
28.151461,77.787988,"BA","",""
28.152303,77.787151,"BA","",""
28.152672,77.786443,"SC","",""
28.15289,77.786669,"SC","",""
28.153174,77.78639,"SC","",""
28.153126,77.786003,"JW","",""
28.152124,77.78625,"PD","",""
28.15254,77.785918,"SC","",""
28.151414,77.78596,"BA","",""
28.151778,77.78574,"SC","",""
28.152043,77.78448,"BA","",""
28.152384,77.783965,"PD","",""
28.152625,77.783573,"PD","",""
28.153301,77.784212,"SC","",""
28.153585,77.78382,"PP","",""
28.151944,77.783407,"PD","",""
28.15227,77.782897,"PD","",""
28.152573,77.78264,"PD","",""
28.152999,77.782415,"PD","",""
28.152895,77.781878,"PD","",""
28.15498,77.77388,"BA","",""
28.154403,77.773831,"SC","",""
28.154015,77.772893,"SC","",""
28.154082,77.774202,"BA","",""
28.15454,77.774888,"BA","",""
28.154682,77.775178,"JW","",""
28.155013,77.775532,"JW","",""
28.154545,77.775918,"SC","",""
28.155486,77.775881,"PD","",""
28.154063,77.776342,"BA","",""
28.153486,77.776004,"JW","",""
28.152757,77.775983,"SC","",""
28.152497,77.775548,"SC","",""
28.152937,77.775189,"SC","",""
28.152247,77.775146,"SC","",""
28.152634,77.774733,"SC","",""
28.151755,77.774572,"PD","",""
28.152157,77.774384,"PD","",""
28.152885,77.774298,"BA","",""
28.153174,77.77411,"SC","",""
28.152833,77.773188,"PD","",""
28.152384,77.773553,"PD","",""
28.151565,77.773279,"SC","",""
28.152001,77.778311,"SC","",""
28.152237,77.778783,"SC","",""
28.152563,77.77925,"SC","",""
28.151854,77.779818,"SC","",""
28.153689,77.780011,"JW","",""
28.153386,77.780221,"PD","",""
28.152303,77.781079,"PD","",""
28.151722,77.781503,"SC","",""
28.153259,77.781132,"JW","",""
28.153727,77.780778,"PD","",""
28.154824,77.78154,"PD","",""
28.155307,77.781122,"BA","",""
28.154791,77.779282,"BA","",""
28.154224,77.778102,"SC","",""
28.153812,77.777463,"SC","",""
28.154626,77.777345,"SC","",""
28.151334,77.79045,"BA","",""
28.150946,77.790805,"PP","",""
28.150586,77.790381,"PP","",""
28.150279,77.790627,"BA","",""
28.149938,77.790901,"PD","",""
28.149584,77.790536,"SC","",""
28.149385,77.791078,"SC","",""
28.149494,77.792033,"SC","",""
28.149938,77.791647,"SC","",""
28.150884,77.791421,"SC","",""
28.150317,77.791936,"SC","",""
28.149801,77.792516,"SC","",""
28.149323,77.792929,"SC","",""
28.150525,77.792242,"SC","",""
28.151092,77.791786,"PP","",""
28.150932,77.792371,"SC","",""
28.15061,77.792693,"SC","",""
28.150984,77.7931,"SC","",""
28.15131,77.792843,"SC","",""
28.152393,77.79302,"PD","",""
28.152081,77.793283,"SC","",""
28.151627,77.79361,"SC","",""
28.152322,77.793798,"SC","",""
28.151901,77.794104,"SC","",""
28.151419,77.794184,"SC","",""
28.15104,77.794511,"PD","",""
28.150771,77.79494,"SC","",""
28.149825,77.794071,"PD","",""
28.150038,77.795423,"SC","",""
28.151934,77.794715,"SC","",""
28.152034,77.79501,"SC","",""
28.151476,77.795187,"SC","",""
28.151107,77.795622,"SC","",""
28.152644,77.795332,"JW","",""
28.152185,77.795504,"SC","",""
28.151769,77.795729,"PD","",""
28.151324,77.79604,"SC","",""
28.150813,77.796228,"SC","",""
28.150274,77.796534,"SC","",""
28.149976,77.797295,"SC","",""
28.150686,77.797049,"SC","",""
28.151154,77.79685,"SC","",""
28.151381,77.797199,"SC","",""
28.151849,77.797113,"SC","",""
28.15228,77.79692,"SC","",""
28.152209,77.796201,"BA","",""
28.152474,77.796067,"BA","",""
28.150624,77.798223,"PD","",""
28.15044,77.797945,"PD","",""
28.150969,77.798765,"SC","",""
28.150553,77.798996,"PD","",""
28.150151,77.799173,"SC","",""
28.149863,77.798685,"PD","",""
28.149555,77.783927,"BA","",""
28.149002,77.78404,"JW","",""
28.149035,77.784796,"PD","",""
28.149253,77.785322,"SC","",""
28.149546,77.785708,"JW","",""
28.148756,77.785708,"SC","",""
28.148368,77.785274,"SC","",""
28.148009,77.785612,"JW","",""
28.147786,77.78595,"SC","",""
28.147531,77.786416,"SC","",""
28.147994,77.786878,"SC","",""
28.147091,77.78699,"SC","",""
28.146817,77.787446,"SC","",""
28.146632,77.787892,"PD","",""
28.146443,77.788299,"PD","",""
28.146277,77.788718,"SC","",""
28.146273,77.789243,"SC","",""
28.14789,77.787527,"PD","",""
28.147696,77.787741,"SC","",""
28.147554,77.788047,"JW","",""
28.147356,77.788487,"SC","",""
28.14684,77.789351,"SC","",""
28.146509,77.790096,"SC","",""
28.146717,77.790461,"SC","",""
28.146566,77.790992,"SC","",""
28.147096,77.791314,"SC","",""
28.14755,77.790397,"PD","",""
28.147829,77.790751,"JW","",""
28.14815,77.791191,"PD","",""
28.147597,77.791781,"SC","",""
28.148406,77.789555,"SC","",""
28.148832,77.789099,"JW","",""
28.149248,77.789437,"SC","",""
28.148926,77.789785,"SC","",""
28.14859,77.790102,"SC","",""
28.148302,77.790391,"SC","",""
28.14859,77.790788,"SC","",""
28.148893,77.790488,"SC","",""
28.149182,77.790188,"PD","",""
28.149456,77.789919,"PP","",""
28.149655,77.789732,"SC","",""
28.149896,77.790231,"SC","",""
28.149574,77.790526,"SC","",""
28.149376,77.791035,"SC","",""
28.149295,77.788696,"PD","",""
28.14956,77.788337,"PD","",""
28.149238,77.787935,"PD","",""
28.148959,77.788315,"PD","",""
28.148728,77.787833,"JW","",""
28.149196,77.78743,"PD","",""
28.149588,77.78699,"SC","",""
28.148396,77.787441,"SC","",""
28.147162,77.790059,"SC","",""
28.151159,77.781969,"SC","",""
28.150719,77.781685,"SC","",""
28.150189,77.782082,"SC","",""
28.14964,77.782495,"SC","",""
28.149891,77.782908,"SC","",""
28.150128,77.783418,"SC","",""
28.149314,77.782061,"SC","",""
28.149092,77.781508,"SC","",""
28.149546,77.781417,"SC","",""
28.149981,77.781744,"SC","",""
28.149792,77.781159,"SC","",""
28.150199,77.780832,"SC","",""
28.150624,77.780473,"SC","",""
28.150738,77.779469,"SC","",""
28.150132,77.779909,"PD","",""
28.1493,77.780446,"SC","",""
28.148704,77.781073,"SC","",""
28.148335,77.780548,"SC","",""
28.148846,77.779738,"SC","",""
28.149607,77.779132,"PD","",""
28.150099,77.77874,"BA","",""
28.149551,77.777715,"BA","",""
28.149167,77.778407,"SC","",""
28.148311,77.778842,"PD","",""
28.147564,77.78021,"BA","",""
28.147559,77.779292,"PD","",""
28.147786,77.778665,"SC","",""
28.148628,77.778021,"SC","",""
28.147729,77.777973,"SC","",""
28.148491,77.777361,"SC","",""
28.146398,77.771943,"PD","",""
28.147299,77.771959,"SC","",""
28.147744,77.772582,"PD","",""
28.146616,77.772818,"SC","",""
28.146277,77.773091,"PP","",""
28.148342,77.772477,"SC","",""
28.148673,77.775535,"PD","",""
28.147578,77.773351,"SC","",""
28.146904,77.773842,"JW","",""
28.146604,77.77414,"BA","",""
28.146389,77.773901,"SC","",""
28.146826,77.774446,"PD","",""
28.146675,77.775084,"PD","",""
28.147387,77.775261,"BA","",""
28.147852,77.775124,"SC","",""
28.147067,77.776498,"SC","",""
28.147275,77.778718,"SC","",""
28.146987,77.778273,"SC","",""
28.147361,77.777485,"SC","",""
28.14675,77.777866,"SC","",""
28.146448,77.777442,"SC","",""
28.14588,77.77779,"SC","",""
28.146992,77.777152,"SC","",""
28.146159,77.776798,"PD","",""
28.145544,77.776986,"BA","",""
28.145904,77.776503,"JW","",""
28.146462,77.776347,"PD","",""
28.14615,77.775832,"PD","",""
28.145752,77.776181,"PP","",""
28.145785,77.770996,"SC","",""
28.14535,77.770758,"SC","",""
28.145166,77.770562,"SC","",""
28.145376,77.770243,"PD","",""
28.145565,77.769578,"PP","",""
28.145769,77.769803,"PP","",""
28.14501,77.769205,"SC","",""
28.144828,77.769779,"SC","",""
28.144598,77.768969,"SC","",""
28.144215,77.769304,"SC","",""
28.143744,77.769073,"SC","",""
28.144109,77.768218,"SC","",""
28.143721,77.767611,"SC","",""
28.143453,77.768727,"BA","NOW EMPTY",""
28.143198,77.771342,"SC","",""
28.143413,77.771203,"BA","",""
28.143725,77.770449,"PD","",""
28.142727,77.77135,"BA","",""
28.142368,77.771635,"BA","",""
28.142027,77.771924,"BA","",""
28.142569,77.770763,"PD","",""
28.142829,77.770575,"PD","",""
28.143177,77.770288,"PD","",""
28.143562,77.76994,"PD","",""
28.143115,77.76961,"SC","",""
28.142304,77.77032,"SC","",""
28.141968,77.770725,"SC","",""
28.141578,77.771093,"SC","",""
28.14268,77.769339,"BA","",""
28.14225,77.769103,"SC","",""
28.142337,77.768507,"SC","",""
28.142836,77.768285,"BA","NOW EMPTY",""
28.143319,77.767923,"BA","",""
28.142905,77.767284,"SC","",""
28.141725,77.768891,"SC","",""
28.141013,77.768856,"JW","",""
28.141327,77.768577,"SC","",""
28.140663,77.768446,"BA","",""
28.140258,77.768167,"JW","",""
28.140651,77.767638,"SC","",""
28.141367,77.767464,"SC","",""
28.141997,77.767402,"SC","",""
28.14216,77.766933,"SC","",""
28.14242,77.765385,"BA","",""
28.142498,77.766117,"PD","",""
28.142763,77.766482,"PD","",""
